 INFO  Accepting connections at http://localhost:3001
 HTTP  5/1/2026 5:13:40 PM ::1 GET /index.html
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 200 in 5 ms
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /index
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 301 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 GET /
 HTTP  5/1/2026 5:13:40 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 2 ms
 HTTP  5/1/2026 5:13:40 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /portal
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 5 ms
 HTTP  5/1/2026 5:13:56 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:56 PM ::1 Returned 200 in 8 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 200 in 3 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 404 in 7 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 200 in 3 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /index.html
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 301 in 2 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 304 in 5 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /index
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 301 in 17 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:13:57 PM ::1 GET /
 HTTP  5/1/2026 5:13:57 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:14:47 PM ::1 GET /portal
 HTTP  5/1/2026 5:14:47 PM ::1 Returned 200 in 11 ms
 HTTP  5/1/2026 5:14:47 PM ::1 GET /site-content.js
 HTTP  5/1/2026 5:14:47 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:14:47 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:14:47 PM ::1 Returned 200 in 2 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /sw.js
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:14:48 PM ::1 GET /favicon.ico
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 200 in 3 ms
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 404 in 10 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /
 HTTP  5/1/2026 5:14:48 PM ::1 GET /index.html
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 301 in 2 ms
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 200 in 4 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /logo.jpeg
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 304 in 3 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /index
 HTTP  5/1/2026 5:14:48 PM ::1 Returned 301 in 1 ms
 HTTP  5/1/2026 5:14:48 PM ::1 GET /manifest.json
 HTTP  5/1/2026 5:14:48 PM ::1 GET /
